ST	ST_Type	Clade	Prop_Clade_With	Order
PKS|Type I|Partially-reducing	PKS	1. Pezizomycotina	0.6288659793814433	10
PKS|Type I|Highly-reducing	PKS	1. Pezizomycotina	0.8556701030927835	7
NRPS	NRPS	1. Pezizomycotina	0.8144329896907216	2
PKS|Type I|Non-reducing	PKS	1. Pezizomycotina	0.9072164948453608	6
Hybrid NRPS-PKS	0. Suspected	1. Pezizomycotina	0.05154639175257732	8
Hybrid NRPS-PKS	Hybrid	1. Pezizomycotina	0.6701030927835051	8
NRPS	0. Suspected	1. Pezizomycotina	0.17525773195876287	2
Only Suspected PKS	0. Suspected	1. Pezizomycotina	0.061855670103092786	11
PKS|Type I|Partially-reducing	PKS	2. Non-Yeast Basidimycota	0.2	10
PKS|Type I|Highly-reducing	PKS	2. Non-Yeast Basidimycota	0.0	7
NRPS	NRPS	2. Non-Yeast Basidimycota	0.4	2
PKS|Type I|Non-reducing	PKS	2. Non-Yeast Basidimycota	0.2	6
Hybrid NRPS-PKS	0. Suspected	2. Non-Yeast Basidimycota	0.0	8
Hybrid NRPS-PKS	Hybrid	2. Non-Yeast Basidimycota	0.1	8
NRPS	0. Suspected	2. Non-Yeast Basidimycota	0.1	2
Only Suspected PKS	0. Suspected	2. Non-Yeast Basidimycota	0.0	11
PKS|Type I|Partially-reducing	PKS	3. Yeast Dikarya	0.0	10
PKS|Type I|Highly-reducing	PKS	3. Yeast Dikarya	0.045454545454545456	7
NRPS	NRPS	3. Yeast Dikarya	0.3181818181818182	2
PKS|Type I|Non-reducing	PKS	3. Yeast Dikarya	0.09090909090909091	6
Hybrid NRPS-PKS	0. Suspected	3. Yeast Dikarya	0.0	8
Hybrid NRPS-PKS	Hybrid	3. Yeast Dikarya	0.045454545454545456	8
NRPS	0. Suspected	3. Yeast Dikarya	0.0	2
Only Suspected PKS	0. Suspected	3. Yeast Dikarya	0.0	11
PKS|Type I|Partially-reducing	PKS	4. Mucoromycota	0.0	10
PKS|Type I|Highly-reducing	PKS	4. Mucoromycota	0.0	7
NRPS	NRPS	4. Mucoromycota	0.0	2
PKS|Type I|Non-reducing	PKS	4. Mucoromycota	0.07692307692307693	6
Hybrid NRPS-PKS	0. Suspected	4. Mucoromycota	0.0	8
Hybrid NRPS-PKS	Hybrid	4. Mucoromycota	0.15384615384615385	8
NRPS	0. Suspected	4. Mucoromycota	0.07692307692307693	2
Only Suspected PKS	0. Suspected	4. Mucoromycota	0.0	11
PKS|Type I|Partially-reducing	PKS	5. Zoopagomycota	0.09090909090909091	10
PKS|Type I|Highly-reducing	PKS	5. Zoopagomycota	0.0	7
NRPS	NRPS	5. Zoopagomycota	0.2727272727272727	2
PKS|Type I|Non-reducing	PKS	5. Zoopagomycota	0.0	6
Hybrid NRPS-PKS	0. Suspected	5. Zoopagomycota	0.0	8
Hybrid NRPS-PKS	Hybrid	5. Zoopagomycota	0.0	8
NRPS	0. Suspected	5. Zoopagomycota	0.0	2
Only Suspected PKS	0. Suspected	5. Zoopagomycota	0.0	11
PKS|Type I|Partially-reducing	PKS	6. Neocallimastigomycota	0.75	10
PKS|Type I|Highly-reducing	PKS	6. Neocallimastigomycota	0.75	7
NRPS	NRPS	6. Neocallimastigomycota	1.0	2
PKS|Type I|Non-reducing	PKS	6. Neocallimastigomycota	0.0	6
Hybrid NRPS-PKS	0. Suspected	6. Neocallimastigomycota	0.0	8
Hybrid NRPS-PKS	Hybrid	6. Neocallimastigomycota	0.0	8
NRPS	0. Suspected	6. Neocallimastigomycota	0.0	2
Only Suspected PKS	0. Suspected	6. Neocallimastigomycota	0.25	11
PKS|Type I|Partially-reducing	PKS	7. Spizellomycetales	0.0	10
PKS|Type I|Highly-reducing	PKS	7. Spizellomycetales	0.1111111111111111	7
NRPS	NRPS	7. Spizellomycetales	0.6666666666666666	2
PKS|Type I|Non-reducing	PKS	7. Spizellomycetales	0.1111111111111111	6
Hybrid NRPS-PKS	0. Suspected	7. Spizellomycetales	0.0	8
Hybrid NRPS-PKS	Hybrid	7. Spizellomycetales	0.5555555555555556	8
NRPS	0. Suspected	7. Spizellomycetales	0.2222222222222222	2
Only Suspected PKS	0. Suspected	7. Spizellomycetales	0.0	11
PKS|Type I|Partially-reducing	PKS	8. Other Zoosporic and Basal Fungi	0.0	10
PKS|Type I|Highly-reducing	PKS	8. Other Zoosporic and Basal Fungi	0.05128205128205128	7
NRPS	NRPS	8. Other Zoosporic and Basal Fungi	0.46153846153846156	2
PKS|Type I|Non-reducing	PKS	8. Other Zoosporic and Basal Fungi	0.0	6
Hybrid NRPS-PKS	0. Suspected	8. Other Zoosporic and Basal Fungi	0.02564102564102564	8
Hybrid NRPS-PKS	Hybrid	8. Other Zoosporic and Basal Fungi	0.1794871794871795	8
NRPS	0. Suspected	8. Other Zoosporic and Basal Fungi	0.10256410256410256	2
Only Suspected PKS	0. Suspected	8. Other Zoosporic and Basal Fungi	0.02564102564102564	11
Polyprenyl synthetase	Terpene	1. Pezizomycotina	0.8865979381443299	3
Polyprenyl synthetase	0. Suspected	1. Pezizomycotina	0.09278350515463918	3
Polyprenyl synthetase	Terpene	2. Non-Yeast Basidimycota	0.3	3
Polyprenyl synthetase	0. Suspected	2. Non-Yeast Basidimycota	0.6	3
Polyprenyl synthetase	Terpene	3. Yeast Dikarya	0.0	3
Polyprenyl synthetase	0. Suspected	3. Yeast Dikarya	0.9545454545454546	3
Polyprenyl synthetase	Terpene	4. Mucoromycota	0.9230769230769231	3
Polyprenyl synthetase	0. Suspected	4. Mucoromycota	0.07692307692307693	3
Polyprenyl synthetase	Terpene	5. Zoopagomycota	0.45454545454545453	3
Polyprenyl synthetase	0. Suspected	5. Zoopagomycota	0.5454545454545454	3
Polyprenyl synthetase	Terpene	6. Neocallimastigomycota	0.0	3
Polyprenyl synthetase	0. Suspected	6. Neocallimastigomycota	0.75	3
Polyprenyl synthetase	Terpene	7. Spizellomycetales	0.5555555555555556	3
Polyprenyl synthetase	0. Suspected	7. Spizellomycetales	0.3333333333333333	3
Polyprenyl synthetase	Terpene	8. Other Zoosporic and Basal Fungi	0.15384615384615385	3
Polyprenyl synthetase	0. Suspected	8. Other Zoosporic and Basal Fungi	0.6923076923076923	3
Squalene-hopene cyclase	Terpene	1. Pezizomycotina	0.5154639175257731	4
Squalene-hopene cyclase	0. Suspected	1. Pezizomycotina	0.4742268041237113	4
Squalene-hopene cyclase	Terpene	2. Non-Yeast Basidimycota	0.6	4
Squalene-hopene cyclase	0. Suspected	2. Non-Yeast Basidimycota	0.4	4
Squalene-hopene cyclase	Terpene	3. Yeast Dikarya	0.4090909090909091	4
Squalene-hopene cyclase	0. Suspected	3. Yeast Dikarya	0.5909090909090909	4
Squalene-hopene cyclase	Terpene	4. Mucoromycota	0.6153846153846154	4
Squalene-hopene cyclase	0. Suspected	4. Mucoromycota	0.38461538461538464	4
Squalene-hopene cyclase	Terpene	5. Zoopagomycota	0.18181818181818182	4
Squalene-hopene cyclase	0. Suspected	5. Zoopagomycota	0.8181818181818182	4
Squalene-hopene cyclase	Terpene	6. Neocallimastigomycota	0.0	4
Squalene-hopene cyclase	0. Suspected	6. Neocallimastigomycota	1.0	4
Squalene-hopene cyclase	Terpene	7. Spizellomycetales	0.7777777777777778	4
Squalene-hopene cyclase	0. Suspected	7. Spizellomycetales	0.2222222222222222	4
Squalene-hopene cyclase	Terpene	8. Other Zoosporic and Basal Fungi	0.3333333333333333	4
Squalene-hopene cyclase	0. Suspected	8. Other Zoosporic and Basal Fungi	0.5384615384615384	4
Squalene/phytoene synthase family - OG-3	Terpene	1. Pezizomycotina	0.979381443298969	1
Squalene/phytoene synthase family - OG-3	0. Suspected	1. Pezizomycotina	0.020618556701030927	1
Squalene/phytoene synthase family - OG-3	Terpene	2. Non-Yeast Basidimycota	1.0	1
Squalene/phytoene synthase family - OG-3	0. Suspected	2. Non-Yeast Basidimycota	0.0	1
Squalene/phytoene synthase family - OG-3	Terpene	3. Yeast Dikarya	1.0	1
Squalene/phytoene synthase family - OG-3	0. Suspected	3. Yeast Dikarya	0.0	1
Squalene/phytoene synthase family - OG-3	Terpene	4. Mucoromycota	1.0	1
Squalene/phytoene synthase family - OG-3	0. Suspected	4. Mucoromycota	0.0	1
Squalene/phytoene synthase family - OG-3	Terpene	5. Zoopagomycota	0.8181818181818182	1
Squalene/phytoene synthase family - OG-3	0. Suspected	5. Zoopagomycota	0.09090909090909091	1
Squalene/phytoene synthase family - OG-3	Terpene	6. Neocallimastigomycota	1.0	1
Squalene/phytoene synthase family - OG-3	0. Suspected	6. Neocallimastigomycota	0.0	1
Squalene/phytoene synthase family - OG-3	Terpene	7. Spizellomycetales	1.0	1
